date,Subsidiary,Oil losses (bopd),Wells WWO
2023-01-19 00:00:00,EG,,0
2023-01-19 00:00:00,ER,,0
2023-01-19 00:00:00,FR,,0
2023-01-19 00:00:00,GA,2480,11
2023-01-19 00:00:00,GT,,0
2023-01-19 00:00:00,IQ,,0
2023-01-19 00:00:00,LH,,0
2023-01-19 00:00:00,MX,67,3
2023-01-19 00:00:00,PE,,0
2023-01-19 00:00:00,SG,,0
2023-01-19 00:00:00,TD,348,1
2023-01-19 00:00:00,TN,683,2
2023-01-19 00:00:00,TR,21,3
2023-01-19 00:00:00,TT,30,1
2023-01-19 00:00:00,UKS,1,4
2023-01-19 00:00:00,UKW,274,1
2023-01-19 00:00:00,US,,0
2023-01-19 00:00:00,VE,,0
2023-01-19 00:00:00,VN,,0
2023-01-19 00:00:00,WE,,0
2023-01-20 00:00:00,,,0
2023-01-20 00:00:00,"",,0
2023-01-20 00:00:00,AU,,0
2023-01-20 00:00:00,BN,,0
2023-01-20 00:00:00,BR,2756,11
2023-01-20 00:00:00,BS,,0
2023-01-20 00:00:00,BZ,,0
2023-01-20 00:00:00,CCS,,0
2023-01-20 00:00:00,CD,891,19
2023-01-20 00:00:00,CG,2440,14
2023-01-20 00:00:00,CM,339,12
2023-01-20 00:00:00,CO,811,10
2023-01-20 00:00:00,EC,,0
2023-01-20 00:00:00,EG,,0
2023-01-20 00:00:00,ER,,0
2023-01-20 00:00:00,FR,,0
2023-01-20 00:00:00,GA,2354,11
2023-01-20 00:00:00,GT,,0
2023-01-20 00:00:00,IQ,,0
2023-01-20 00:00:00,LH,,0
2023-01-20 00:00:00,MX,67,3
2023-01-20 00:00:00,PE,,0
2023-01-20 00:00:00,SG,,0
2023-01-20 00:00:00,TD,348,1
2023-01-20 00:00:00,TN,683,2
2023-01-20 00:00:00,TR,29,3
2023-01-20 00:00:00,TT,30,1
2023-01-20 00:00:00,UKS,1,4
2023-01-20 00:00:00,UKW,274,1
2023-01-20 00:00:00,US,,0
2023-01-20 00:00:00,VE,,0
2023-01-20 00:00:00,VN,,0
2023-01-20 00:00:00,WE,,0
2023-01-21 00:00:00,,,0
2023-01-21 00:00:00,"",,0
2023-01-21 00:00:00,AU,,0
2023-01-21 00:00:00,BN,,0
2023-01-21 00:00:00,BR,2639,10
2023-01-21 00:00:00,BS,,0
2023-01-21 00:00:00,BZ,,0
2023-01-21 00:00:00,CCS,,0
2023-01-21 00:00:00,CD,1120,21
2023-01-21 00:00:00,CG,2171,15
2023-01-21 00:00:00,CM,323,12
2023-01-21 00:00:00,CO,811,10
2023-01-21 00:00:00,EC,,0
2023-01-21 00:00:00,EG,,0
2023-01-21 00:00:00,ER,,0
2023-01-21 00:00:00,FR,,0
2023-01-21 00:00:00,GA,2354,12
2023-01-21 00:00:00,GT,,0
2023-01-21 00:00:00,IQ,,0
2023-01-21 00:00:00,LH,,0
2023-01-21 00:00:00,MX,67,3
2023-01-21 00:00:00,PE,,0
2023-01-21 00:00:00,SG,,0
2023-01-21 00:00:00,TD,348,1
2023-01-21 00:00:00,TN,683,2
2023-01-21 00:00:00,TR,78,3
2023-01-21 00:00:00,TT,30,1
2023-01-21 00:00:00,UKS,3,5
2023-01-21 00:00:00,UKW,274,1
2023-01-21 00:00:00,US,,0
2023-01-21 00:00:00,VE,,0
2023-01-21 00:00:00,VN,,0
2023-01-21 00:00:00,WE,,0
2023-01-22 00:00:00,,,0
2023-01-22 00:00:00,"",,0
2023-01-22 00:00:00,AU,,0
2023-01-22 00:00:00,BN,,0
2023-01-22 00:00:00,BR,2321,10
2023-01-22 00:00:00,BS,,0
2023-01-22 00:00:00,BZ,,0
2023-01-22 00:00:00,CCS,,0
2023-01-22 00:00:00,CD,1221,23
2023-01-22 00:00:00,CG,2108,15
2023-01-22 00:00:00,CM,404,12
2023-01-22 00:00:00,CO,811,10
2023-01-22 00:00:00,EC,,0
2023-01-22 00:00:00,EG,,0
2023-01-22 00:00:00,ER,,0
