date,Subsidiary,Oil losses (bopd),Wells WWO
2023-01-10 00:00:00,CCS,,0
2023-01-10 00:00:00,CD,596,18
2023-01-10 00:00:00,CG,1474,12
2023-01-10 00:00:00,CM,803,11
2023-01-10 00:00:00,CO,818,10
2023-01-10 00:00:00,EC,,0
2023-01-10 00:00:00,EG,,0
2023-01-10 00:00:00,ER,,0
2023-01-10 00:00:00,FR,,0
2023-01-10 00:00:00,GA,5158,21
2023-01-10 00:00:00,GT,,0
2023-01-10 00:00:00,IQ,,0
2023-01-10 00:00:00,LH,,0
2023-01-10 00:00:00,MX,67,3
2023-01-10 00:00:00,PE,,0
2023-01-10 00:00:00,SG,,0
2023-01-10 00:00:00,TD,348,1
2023-01-10 00:00:00,TN,683,2
2023-01-10 00:00:00,TR,3,2
2023-01-10 00:00:00,TT,30,1
2023-01-10 00:00:00,UKS,1,4
2023-01-10 00:00:00,UKW,2,1
2023-01-10 00:00:00,US,,0
2023-01-10 00:00:00,VE,,0
2023-01-10 00:00:00,VN,,0
2023-01-10 00:00:00,WE,,0
2023-01-11 00:00:00,,,0
2023-01-11 00:00:00,"",,0
2023-01-11 00:00:00,AU,,0
2023-01-11 00:00:00,BN,,0
2023-01-11 00:00:00,BR,5042,14
2023-01-11 00:00:00,BS,,0
2023-01-11 00:00:00,BZ,,0
2023-01-11 00:00:00,CCS,,0
2023-01-11 00:00:00,CD,1096,20
2023-01-11 00:00:00,CG,1528,13
2023-01-11 00:00:00,CM,803,11
2023-01-11 00:00:00,CO,816,10
2023-01-11 00:00:00,EC,,0
2023-01-11 00:00:00,EG,,0
2023-01-11 00:00:00,ER,,0
2023-01-11 00:00:00,FR,,0
2023-01-11 00:00:00,GA,5057,22
2023-01-11 00:00:00,GT,,0
2023-01-11 00:00:00,IQ,,0
2023-01-11 00:00:00,LH,,0
2023-01-11 00:00:00,MX,67,3
2023-01-11 00:00:00,PE,,0
2023-01-11 00:00:00,SG,,0
2023-01-11 00:00:00,TD,348,1
2023-01-11 00:00:00,TN,683,2
2023-01-11 00:00:00,TR,3,2
2023-01-11 00:00:00,TT,30,1
2023-01-11 00:00:00,UKS,1,4
2023-01-11 00:00:00,UKW,156,1
2023-01-11 00:00:00,US,,0
2023-01-11 00:00:00,VE,,0
2023-01-11 00:00:00,VN,,0
2023-01-11 00:00:00,WE,,0
2023-01-12 00:00:00,,,0
2023-01-12 00:00:00,"",,0
2023-01-12 00:00:00,AU,,0
2023-01-12 00:00:00,BN,,0
2023-01-12 00:00:00,BR,3941,11
2023-01-12 00:00:00,BS,,0
2023-01-12 00:00:00,BZ,,0
2023-01-12 00:00:00,CCS,,0
2023-01-12 00:00:00,CD,703,18
2023-01-12 00:00:00,CG,1690,13
2023-01-12 00:00:00,CM,803,11
2023-01-12 00:00:00,CO,816,10
2023-01-12 00:00:00,EC,,0
2023-01-12 00:00:00,EG,,0
2023-01-12 00:00:00,ER,,0
2023-01-12 00:00:00,FR,,0
2023-01-12 00:00:00,GA,3849,20
2023-01-12 00:00:00,GT,,0
2023-01-12 00:00:00,IQ,,0
2023-01-12 00:00:00,LH,,0
2023-01-12 00:00:00,MX,67,3
2023-01-12 00:00:00,PE,,0
2023-01-12 00:00:00,SG,,0
2023-01-12 00:00:00,TD,348,1
2023-01-12 00:00:00,TN,683,2
2023-01-12 00:00:00,TR,10,2
2023-01-12 00:00:00,TT,30,1
2023-01-12 00:00:00,UKS,1,4
2023-01-12 00:00:00,UKW,274,1
2023-01-12 00:00:00,US,,0
2023-01-12 00:00:00,VE,,0
2023-01-12 00:00:00,VN,,0
2023-01-12 00:00:00,WE,,0
2023-01-13 00:00:00,,,0
2023-01-13 00:00:00,"",,0
2023-01-13 00:00:00,AU,,0
2023-01-13 00:00:00,BN,,0
2023-01-13 00:00:00,BR,2756,11
2023-01-13 00:00:00,BS,,0
2023-01-13 00:00:00,BZ,,0
2023-01-13 00:00:00,CCS,,0
2023-01-13 00:00:00,CD,893,18
2023-01-13 00:00:00,CG,2465,14
2023-01-13 00:00:00,CM,803,11
2023-01-13 00:00:00,CO,816,10
2023-01-13 00:00:00,EC,,0
2023-01-13 00:00:00,EG,,0
2023-01-13 00:00:00,ER,,0
2023-01-13 00:00:00,FR,,0
2023-01-13 00:00:00,GA,3689,21
2023-01-13 00:00:00,GT,,0
2023-01-13 00:00:00,IQ,,0
2023-01-13 00:00:00,LH,,0
2023-01-13 00:00:00,MX,67,3
2023-01-13 00:00:00,PE,,0
2023-01-13 00:00:00,SG,,0
2023-01-13 00:00:00,TD,348,1
2023-01-13 00:00:00,TN,683,3
2023-01-13 00:00:00,TR,21,3
2023-01-13 00:00:00,TT,30,1
2023-01-13 00:00:00,UKS,1,4
2023-01-13 00:00:00,UKW,304,1
2023-01-13 00:00:00,US,,0
2023-01-13 00:00:00,VE,,0
2023-01-13 00:00:00,VN,,0
2023-01-13 00:00:00,WE,,0
2023-01-14 00:00:00,,,0
2023-01-14 00:00:00,"",,0
2023-01-14 00:00:00,AU,,0
2023-01-14 00:00:00,BN,,0
2023-01-14 00:00:00,BR,2756,11
2023-01-14 00:00:00,BS,,0
2023-01-14 00:00:00,BZ,,0
2023-01-14 00:00:00,CCS,,0
2023-01-14 00:00:00,CD,458,17
2023-01-14 00:00:00,CG,2479,15
2023-01-14 00:00:00,CM,390,11
2023-01-14 00:00:00,CO,841,11
2023-01-14 00:00:00,EC,,0
2023-01-14 00:00:00,EG,,0
2023-01-14 00:00:00,ER,,0
2023-01-14 00:00:00,FR,,0
2023-01-14 00:00:00,GA,3650,20
2023-01-14 00:00:00,GT,,0
2023-01-14 00:00:00,IQ,,0
2023-01-14 00:00:00,LH,,0
2023-01-14 00:00:00,MX,67,3
2023-01-14 00:00:00,PE,,0
2023-01-14 00:00:00,SG,,0
2023-01-14 00:00:00,TD,348,1
2023-01-14 00:00:00,TN,683,2
2023-01-14 00:00:00,TR,59,3
2023-01-14 00:00:00,TT,30,1
2023-01-14 00:00:00,UKS,1,4
2023-01-14 00:00:00,UKW,274,1
2023-01-14 00:00:00,US,,0
2023-01-14 00:00:00,VE,,0
2023-01-14 00:00:00,VN,,0
2023-01-14 00:00:00,WE,,0
2023-01-15 00:00:00,,,0
2023-01-15 00:00:00,"",,0
2023-01-15 00:00:00,AU,,0
2023-01-15 00:00:00,BN,,0
2023-01-15 00:00:00,BR,2756,11
2023-01-15 00:00:00,BS,,0
